what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366860200928
java.vm.version,sysinfo,,,"23.7-b01",1366860200928
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1366860205055
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1366860205136
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1366860205235
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,"org.eclipse.pde.api.tools.ui",1366860205237
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,"org.eclipse.pde.p2.ui",1366860205237
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,"org.eclipse.pde.runtime",1366860205239
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,"org.eclipse.pde.ui.templates",1366860205241
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,"org.eclipse.pde.ui",1366860205241
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1366860205243
